cd,txt,addr,addr2,city,state,zip,phone,contact1,nation,fax,cvo_type,homehtml,ver_elec,newcd,email,payfee,link,autofax,autoemail,latitude,longitude,inactive,extension,note,cme_reqhours,username,password,LegacyCD,obsolete,lastvalidated,validatedby,CertificationBody,isValidate,LicNumRequired,isWFV,isCredStrm,Needs_Search_Info,Search_Info_Text,isManual
ABMSP     ,American Board of Multiple Specialties in Podiatry                                                                                                                                                                                                                                                          ,1350 Broadway Rm 1705,                                                                           ,New York                      ,NY,10018,(888) 852-1442,                                                                                                    ,                    ,(212) 356-0678,   ,https://www.abmsp.org/verify.php,1,      ,                                                                                                    ,40,1635853,0,0,0,0,0,,alias_Name(pka) = American Board of Medical Specialties in Podiatry,0,,,,0,,,,1,0,1,1,0,,0
ABNC      ,American Board of Nuclear Cardiology                                                                                                                                                                                                                                                                        ,,                                                                           ,                              ,  ,          ,              ,                                                                                                    ,                    ,              ,   ,,0,      ,                                                                                                    ,0,1637526,1,1,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABNCAD    ,American Board of Neurodiagnostic Credentialing & Accreditation                                                                                                                                                                                                                                             ,2908 Greenbriar Dr,Ste A                                                                      ,Springfield                   ,IL,62704,(217) 726-7980,                                                                                                    ,United States       ,(217) 726-7989,   ,https://abret.org/employers/credential_search/,1,      ,                                                                                                    ,0,1637703,1,1,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABNFS     ,American Board of Electroencephalography & Neurophysiology                                                                                                                                                                                                                                                  ,,                                                                           ,                              ,  ,          ,              ,                                                                                                    ,                    ,              ,   ,,0,      ,                                                                                                    ,0,1637514,1,1,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABNM      ,American Board of Nuclear Medicine                                                                                                                                                                                                                                                                          ,4555 Forest Park Ave,Apt 119                                                                    ,Saint Louis                   ,MO,63108-2173,(314) 367-2225,                                                                                                    ,United States       ,              ,   ,,1,      ,                                                                                                    ,0,1635854,0,0,,,0,,,0,,,,0,,,ABMS,1,0,1,1,0,,0
ABNN      ,American Board of Neuroscience Nursing                                                                                                                                                                                                                                                                      ,8735 W Higgins Rd Ste 300,                                                                           ,Chicago                       ,IL,60631-2738,(847) 375.4895,                                                                                                    ,                    ,(847) 375-6430,   ,http://apps.aann.org/CertificationVerification.aspx,1,      ,                                                                                                    ,0,1635855,0,0,42086227,-87875466,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABNPM     ,American Board of Neurophysiologic Monitoring                                                                                                                                                                                                                                                               ,,                                                                           ,                              ,  ,          ,              ,                                                                                                    ,                    ,              ,   ,,0,      ,                                                                                                    ,0,1637808,1,1,,,0,,,0,,,,0,,,,0,0,1,1,0,,0
ABNS      ,American Board of Neurological Surgery                                                                                                                                                                                                                                                                      ,6550 Fannin St Ste 2139,                                                                           ,Houston                       ,TX,77030-2718,(713) 790-6015,                                                                                                    ,                    ,(713) 794-0207,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635856,0,0,,,0,,,0,,,,0,,,ABMS,1,0,1,1,0,,0
ABOALI    ,American Board of Allergy & Immunology                                                                                                                                                                                                                                                                      ,510 Walnut St,Ste 1700                                                                   ,Philadelphia                  ,PA,19106-3620,(215) 592-9466,                                                                                                    ,United States       ,(215) 592-9411,   ,,1,      ,abai@abai.org                                                                                       ,0,1638077,0,0,,,0,,,0,,,,0,,,,1,1,1,1,0,,0
ABOAPM    ,American Board of Preventive Medicine/Addiction Medicine                                                                                                                                                                                                                                                    ,111 W Jackson Blvd,Ste 1340                                                                   ,Chicago                       ,IL,60604-4164,              ,                                                                                                    ,United States       ,              ,   ,https://www.theabpm.org/become-certified/subspecialties/addiction-medicine/,1,      ,bpm@theabpm.org                                                                                     ,0,1638039,0,0,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
ABOG      ,American Board of Obstetrics & Gynecology                                                                                                                                                                                                                                                                   ,2915 Vine St,                                                                           ,Dallas                        ,TX,75204-1045,(214) 871-1619,                                                                                                    ,United States       ,(214) 871-1943,   ,https://www.abog.org/verify-physician,1,      ,                                                                                                    ,0,1635857,0,0,,,0,,,0,,,,0,,,ABMS,1,0,1,1,0,,0
ABOGC     ,American Board of Obstetrics & Gynecology-Critical Care Medicine                                                                                                                                                                                                                                            ,2915 Vine St,                                                                           ,Dallas                        ,TX,75204-1045,(972) 871-1619,                                                                                                    ,                    ,(214) 871-1943,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635858,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABOGM     ,American Board of Obstetrics & Gynecology-Maternal & Fetal Medicine                                                                                                                                                                                                                                         ,2915 Vine St,                                                                           ,Dallas                        ,TX,75204-1045,(972) 871-1619,                                                                                                    ,                    ,(214) 871-1943,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635859,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABOGO     ,American Board of Obstetrics & Gynecology-Gynecologic Oncology                                                                                                                                                                                                                                              ,2915 Vine St,                                                                           ,Dallas                        ,TX,75204-1045,(972) 871-1619,                                                                                                    ,                    ,(214) 871-1943,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635860,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABOGR     ,American Board of Obstetrics & Gynecology-Reproductive Endocrinology                                                                                                                                                                                                                                        ,2915 Vine St,                                                                           ,Dallas                        ,TX,75204-1045,(972) 871-1619,                                                                                                    ,                    ,(214) 871-1943,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635861,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABOLGY    ,The American Board of Ophthalmology                                                                                                                                                                                                                                                                         ,PO Box 1887,                                                                           ,Doylestown                    ,PA,18901,(610) 664-1175,                                                                                                    ,United States       ,              ,   ,,1,      ,                                                                                                    ,0,1637961,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
ABOM432   ,American Board of Obesity Medicine                                                                                                                                                                                                                                                                          ,2696 S Colorado Blvd,Ste 340                                                                    ,Denver                        ,CO,80222,(303) 770-9100,                                                                                                    ,                    ,(303) 770-9104,   ,http://abom.org/diplomate-search/,0,      ,                                                                                                    ,0,1637153,1,1,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABOMP     ,American Board of Oral & Maxillofacial Pathology                                                                                                                                                                                                                                                            ,4830 W Kennedy Blvd,Ste 690                                                                    ,Tampa                         ,FL,33609-2571,              ,                                                                                                    ,                    ,              ,   ,https://abomp.org/contact-us,0,      ,                                                                                                    ,0,1637507,1,1,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABOMS     ,American Board of Oral & Maxillofacial Surgery                                                                                                                                                                                                                                                              ,625 N Michigan Ave Ste 1820,                                                                           ,Chicago                       ,IL,60611-3177,(312) 642-0070,                                                                                                    ,                    ,(312) 642-8584,   ,https://www.aboms.org/,1,      ,                                                                                                    ,50,1635862,0,0,,,0,,,0,,,,0,,,OTHER,1,0,1,1,0,,0
ABON      ,American Board of Otolaryngology/Neurotology                                                                                                                                                                                                                                                                ,5615 Kirby Dr Ste 600,                                                                           ,Houston                       ,TX,77005-2444,(713) 850-0399,                                                                                                    ,                    ,              ,   ,,1,      ,                                                                                                    ,0,1635863,0,0,29735658,-95460676,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABOP      ,American Board of Ophthalmology                                                                                                                                                                                                                                                                             ,111 Presidential Blvd Ste 241,                                                                           ,Bala Cynwyd                   ,PA,19004-1012,(610) 664-1175,                                                                                                    ,                    ,(610) 664-6503,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635864,0,0,,,0,,,0,,,,0,,,ABMS,1,0,1,1,0,,0
ABOP432   ,American Board of Orofacial Pain                                                                                                                                                                                                                                                                            ,174 S New York Ave,Po Box 478                                                                 ,Oceanville                    ,NJ,8231,(609) 504-1311,                                                                                                    ,                    ,(609) 573-5064,   ,,0,      ,                                                                                                    ,0,1637154,1,1,,,0,,,0,,,,0,,,OTHER,1,0,1,1,0,,0
ABOPS     ,American Board of Otolaryngology/Plastic Surgery Head-Neck                                                                                                                                                                                                                                                  ,5615 Kirby Dr,Ste 600                                                                    ,Houston                       ,TX,77005,(713) 850-0399,                                                                                                    ,                    ,              ,   ,,1,      ,                                                                                                    ,0,1635865,0,0,,,0,,Otolaryngology/Plastic Surgery Within the Head and Neck,0,,,,0,,,,1,0,1,1,0,,0
ABOPSA    ,American Board of Psychoanalysis                                                                                                                                                                                                                                                                            ,3400 E Bayaud Ave,Ste 460                                                                    ,Denver                        ,CO,80209-2930,(303) 676-8008,                                                                                                    ,United States       ,              ,   ,,0,      ,                                                                                                    ,0,1638114,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
ABOPT     ,American Board of Optometry                                                                                                                                                                                                                                                                                 ,243 N Lindbergh Blvd,Ste 312                                                                    ,Saint Louis                   ,MO,63141-7851,(314) 983-4234,Online Verification Fee $9.95                                                                       ,                    ,              ,   ,https://americanboardofoptometry.org/product/abo-membership/,1,      ,                                                                                                    ,0,1637215,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABORT     ,American Board of Orthodontics                                                                                                                                                                                                                                                                              ,401 N Lindbergh Blvd Ste 308,                                                                           ,Saint Louis                   ,MO,63141-7839,(314) 432-6130,                                                                                                    ,                    ,(314) 432-8170,   ,http://www.americanboardortho.com,1,      ,                                                                                                    ,0,1635866,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABOS      ,American Board of Orthopaedic Surgery                                                                                                                                                                                                                                                                       ,400 Silver Cedar Ct,                                                                           ,Chapel Hill                   ,NC,27514,(919) 929-7103,                                                                                                    ,United States       ,(919) 942-8988,   ,https://www.abos.org/portal/verifycertification.aspx,1,      ,                                                                                                    ,0,1635867,0,0,,,0,,,0,,,,0,,,ABMS,1,0,1,1,0,,0
ABOSH     ,American Board of Orthopaedic Surgery/Hand Surgery                                                                                                                                                                                                                                                          ,400 Silver Cedar Ct,                                                                           ,Chapel Hill                   ,NC,27514,(919) 929-7103,                                                                                                    ,                    ,(919) 942-8988,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635868,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABOSSM    ,American Board of Orthopaedic Surgery/Sports Medicine                                                                                                                                                                                                                                                       ,400 Silver Cedar Ct,                                                                           ,Chapel Hill                   ,NC,27514,(919) 929-7103,                                                                                                    ,United States       ,              ,   ,,1,      ,                                                                                                    ,0,1635869,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABOT      ,American Board of Otolaryngology                                                                                                                                                                                                                                                                            ,5615 Kirby Dr Ste 600,                                                                           ,Houston                       ,TX,77005-2444,(713) 850-0399,                                                                                                    ,                    ,              ,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635870,0,0,,,0,,alias_Name(aka) = American Board of Otolaryngology-Head/Neck Surgery,0,,,,0,,,ABMS,1,0,1,1,0,,0
ABOTO     ,American Board of Otolaryngology/Otology                                                                                                                                                                                                                                                                    ,5615 Kirby Dr Ste 600,                                                                           ,Houston                       ,TX,77005-2444,(713) 850-0399,                                                                                                    ,                    ,              ,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635871,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABOTP     ,American Board of Otolaryngology/Pediatric Otolary                                                                                                                                                                                                                                                          ,5615 Kirby Dr Ste 600,                                                                           ,Houston                       ,TX,77005-2444,(713) 850-0399,                                                                                                    ,                    ,              ,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635872,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABOTSM    ,American Board of Otolaryngology/Sleep Medicine                                                                                                                                                                                                                                                             ,5615 Kirby Dr Ste 600,                                                                           ,Houston                       ,TX,77005-2444,(713) 850-0399,                                                                                                    ,                    ,              ,   ,,1,      ,                                                                                                    ,0,1635873,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABP       ,American Board of Preventive Medicine                                                                                                                                                                                                                                                                       ,111 W Jackson Blvd,Ste 1340                                                                   ,Chicago                       ,IL,60604,(312) 939-2218,                                                                                                    ,United States       ,              ,   ,https://certification.theabpm.org/physician-lookup/certifications/abpm-nqhow-wiu25,1,      ,abpm@theabpm.org                                                                                    ,0,1635874,0,0,,,0,,,0,,,,0,,,ABMS,1,0,1,1,0,,0
ABPA      ,American Board of Pathology                                                                                                                                                                                                                                                                                 ,4830 W Kennedy Blvd Ste 690,                                                                           ,Tampa                         ,FL,33609-2571,(813) 286-2444,                                                                                                    ,                    ,(813) 289-5279,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635875,0,0,,,0,,,0,,,,0,,,ABMS,1,0,1,1,0,,0
ABPAA     ,American Board of Pathology/Anatomic & Clinical                                                                                                                                                                                                                                                             ,4830 W Kennedy Blvd Ste 690,                                                                           ,Tampa                         ,FL,33609-2571,(813) 286-2444,                                                                                                    ,                    ,              ,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635876,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABPAAP    ,American Board of Pathology/Anatomic Pathology                                                                                                                                                                                                                                                              ,4830 W Kennedy Blvd Ste 690,                                                                           ,Tampa                         ,FL,33609-2571,(813) 286-2444,                                                                                                    ,                    ,              ,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635877,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABPAB     ,American Board of Pathology/Blood Banking-Transfusion                                                                                                                                                                                                                                                       ,4830 W Kennedy Blvd Ste 690,                                                                           ,Tampa                         ,FL,33609-2571,(813) 286-2444,                                                                                                    ,                    ,              ,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635878,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABPAC     ,American Board of Pathology/Cytopathology                                                                                                                                                                                                                                                                   ,4830 W Kennedy Blvd Ste 690,                                                                           ,Tampa                         ,FL,33609-2571,(813) 286-2444,                                                                                                    ,                    ,(813) 289-5279,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635879,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABPACH    ,American Board of Pathology/Chemical Pathology                                                                                                                                                                                                                                                              ,4830 W Kennedy Blvd Ste 690,                                                                           ,Tampa                         ,FL,33609-2571,(813) 286-2444,                                                                                                    ,                    ,(813) 289-5279,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635880,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABPACP    ,American Board of Pathology/Clinical Pathology                                                                                                                                                                                                                                                              ,4830 W Kennedy Blvd Ste 690,                                                                           ,Tampa                         ,FL,33609-2571,(813) 286-2444,                                                                                                    ,                    ,(813) 289-5279,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635881,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABPAD     ,American Board of Pathology/Dermatopathology                                                                                                                                                                                                                                                                ,4830 W Kennedy Blvd Ste 690,                                                                           ,Tampa                         ,FL,33609-2571,(813) 286-2444,                                                                                                    ,                    ,(813) 289-5279,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635882,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABPAE     ,American Board of Preventive Medicine/Aerospace                                                                                                                                                                                                                                                             ,330 S Wells St Apt 1018,                                                                           ,Chicago                       ,IL,60606-7102,(312) 939-2276,                                                                                                    ,                    ,(312) 939-2218,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635883,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABPAF     ,American Board of Pathology/Forensic Pathology                                                                                                                                                                                                                                                              ,4830 W Kennedy Blvd Ste 690,                                                                           ,Tampa                         ,FL,33609-2571,(813) 286-2444,                                                                                                    ,                    ,(813) 289-5279,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635884,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABPAH     ,American Board of Pathology/Hematology                                                                                                                                                                                                                                                                      ,4830 W Kennedy Blvd,Ste 690                                                                    ,Tampa                         ,FL,33609-2571,(813) 286-2444,                                                                                                    ,United States       ,(813) 289-5279,   ,,1,      ,                                                                                                    ,0,1635885,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABPAIM    ,American Board of Pathology/Immunopathology                                                                                                                                                                                                                                                                 ,4830 W Kennedy Blvd Ste 690,                                                                           ,Tampa                         ,FL,33609-2571,(813) 286-2444,                                                                                                    ,                    ,(813) 289-5279,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635886,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABPAM     ,American Board of Pathology/Medical Microbiology                                                                                                                                                                                                                                                            ,4830 W Kennedy Blvd Ste 690,                                                                           ,Tampa                         ,FL,33609-2571,(813) 286-2444,                                                                                                    ,                    ,(813) 289-5279,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635887,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABPAMG    ,American Board of Pathology/Molecular Genetic                                                                                                                                                                                                                                                               ,4830 W Kennedy Blvd Ste 690,                                                                           ,Tampa                         ,FL,33609-2571,(813) 286-2444,                                                                                                    ,                    ,(813) 289-5279,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635888,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABPAN     ,American Board of Pathology/Neuropathology                                                                                                                                                                                                                                                                  ,4830 W Kennedy Blvd Ste 690,                                                                           ,Tampa                         ,FL,33609-2571,(813) 286-2444,                                                                                                    ,                    ,(813) 289-5279,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635889,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABPAP     ,American Board of Pathology/Pediatric Pathology                                                                                                                                                                                                                                                             ,4830 W Kennedy Blvd Ste 690,                                                                           ,Tampa                         ,FL,33609-2571,(813) 286-2444,                                                                                                    ,                    ,(813) 289-5279,   ,                                                                                                    ,1,      ,                                                                                                    ,0,1635890,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABPBRA    ,American Board of Psychiatry & Neurology-Brain Injury Medicine                                                                                                                                                                                                                                              ,353 N Clark St,Ste 1400                                                                   ,Chicago                       ,IL,60654-3454,(312) 436-2600,                                                                                                    ,United States       ,              ,   ,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,0,      ,                                                                                                    ,0,1638166,0,0,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
ABPD      ,American Board of Pediatrics                                                                                                                                                                                                                                                                                ,111 Silver Cedar Ct,                                                                           ,Chapel Hill                   ,NC,27514-1692,(919) 929-0461,                                                                                                    ,United States       ,              ,   ,http://www.abp.org,1,      ,abpeds@abpeds.org                                                                                   ,0,1635891,0,0,,,0,,,0,,,,0,,,ABMS,1,0,1,1,0,,0
ABPDA     ,American Board of Pediatrics/Adolescent Medicine                                                                                                                                                                                                                                                            ,111 Silver Cedar Ct,                                                                           ,Chapel Hill                   ,NC,27514-1692,(919) 929-0461,                                                                                                    ,                    ,              ,   ,http://www.abp.org                                                                                  ,1,      ,abpeds@abpeds.org                                                                                   ,0,1635892,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABPDB     ,American Board of Pediatrics/Developmental-Behavioral                                                                                                                                                                                                                                                       ,111 Silver Cedar Ct,                                                                           ,Chapel Hill                   ,NC,27514-1692,(919) 929-0461,                                                                                                    ,                    ,              ,   ,http://www.abp.org,1,      ,                                                                                                    ,0,1635893,0,0,35961129,-79050808,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABPDC     ,American Board of Pediatrics/Pediatric Cardiology                                                                                                                                                                                                                                                           ,111 Silver Cedar Ct,                                                                           ,Chapel Hill                   ,NC,27514-1692,(919) 929-0461,                                                                                                    ,                    ,              ,   ,http://www.abp.org                                                                                  ,1,      ,abpeds@abpeds.org                                                                                   ,0,1635894,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
